Intermittent browser/base/content/test/general/browser_bookmark_popup.js | Panel should still be 'open' for non-autoclose - Got closed, expected open
https://treeherder.mozilla.org/logviewer.html#?job_id=74590465&repo=mozilla-inbound

05:17:09     INFO - Entering test bound mouse_hovering_panel_should_prevent_autoclose
05:17:09     INFO - TEST-PASS | browser/base/content/test/general/browser_bookmark_popup.js | Page should only be starred prior to popupshown if editing bookmark - 
05:17:09     INFO - TEST-PASS | browser/base/content/test/general/browser_bookmark_popup.js | Panel should be 'closed' to start test - 
05:17:09     INFO - TEST-PASS | browser/base/content/test/general/browser_bookmark_popup.js | Panel should be 'open' after shownPromise is resolved - 
05:17:09     INFO - Buffered messages logged at 05:17:09
05:17:09     INFO - TEST-PASS | browser/base/content/test/general/browser_bookmark_popup.js | Only one bookmark should exist - 
05:17:09     INFO - TEST-PASS | browser/base/content/test/general/browser_bookmark_popup.js | Page is starred - 
05:17:09     INFO - TEST-PASS | browser/base/content/test/general/browser_bookmark_popup.js | title should match isEditingBookmark state - 
05:17:09     INFO - Buffered messages finished
05:17:09     INFO - TEST-UNEXPECTED-FAIL | browser/base/content/test/general/browser_bookmark_popup.js | Panel should still be 'open' for non-autoclose - Got closed, expected open
05:17:09     INFO - Stack trace:
05:17:09     INFO -     chrome://mochikit/content/browser-test.js:test_is:911
05:17:09     INFO -     chrome://mochitests/content/browser/browser/base/content/test/general/browser_bookmark_popup.js:test_bookmarks_popup/<:56
05:17:09     INFO -     test_bookmarks_popup@chrome://mochitests/content/browser/browser/base/content/test/general/browser_bookmark_popup.js:20:9
05:17:09     INFO -     TaskImpl_run@resource://gre/modules/Task.jsm:319:42
05:17:09     INFO -     TaskImpl@resource://gre/modules/Task.jsm:277:3
05:17:09     INFO -     asyncFunction@resource://gre/modules/Task.jsm:252:14
05:17:09     INFO -     Task_spawn@resource://gre/modules/Task.jsm:166:12
05:17:09     INFO -     TaskImpl_handleResultValue@resource://gre/modules/Task.jsm:389:16
05:17:09     INFO -     TaskImpl_run@resource://gre/modules/Task.jsm:327:15
05:17:09     INFO -     TaskImpl@resource://gre/modules/Task.jsm:277:3
05:17:09     INFO -     asyncFunction@resource://gre/modules/Task.jsm:252:14
05:17:09     INFO -     Task_spawn@resource://gre/modules/Task.jsm:166:12
05:17:09     INFO -     TaskImpl_handleResultValue@resource://gre/modules/Task.jsm:389:16
05:17:09     INFO -     TaskImpl_run@resource://gre/modules/Task.jsm:327:15
